Test 78, loss: 1.509245, test acc: 0.911264, test avg acc: 0.871715
Train 79, loss: 1.556291, train acc: 0.915513, train avg acc: 0.870540
Test 79, loss: 1.520045, test acc: 0.901945, test avg acc: 0.860483
Train 80, loss: 1.558657, train acc: 0.914190, train avg acc: 0.868409
Test 80, loss: 1.535098, test acc: 0.900324, test avg acc: 0.849779
Train 81, loss: 1.552189, train acc: 0.916735, train avg acc: 0.873184
Test 81, loss: 1.548122, test acc: 0.903971, test avg acc: 0.854343
Train 82, loss: 1.551636, train acc: 0.919992, train avg acc: 0.875231
Test 82, loss: 1.550893, test acc: 0.895057, test avg acc: 0.852349
Train 83, loss: 1.549456, train acc: 0.917142, train avg acc: 0.878207
Test 83, loss: 1.532977, test acc: 0.905592, test avg acc: 0.876349
Train 84, loss: 1.554593, train acc: 0.913477, train avg acc: 0.870967
Test 84, loss: 1.531858, test acc: 0.906807, test avg acc: 0.862169
Train 85, loss: 1.547794, train acc: 0.921213, train avg acc: 0.879324
Test 85, loss: 1.536170, test acc: 0.901135, test avg acc: 0.849343
Train 86, loss: 1.545328, train acc: 0.920297, train avg acc: 0.877145
Test 86, loss: 1.533802, test acc: 0.895057, test avg acc: 0.873047
Train 87, loss: 1.546196, train acc: 0.922638, train avg acc: 0.882612
Test 87, loss: 1.534332, test acc: 0.908023, test avg acc: 0.863936
Train 88, loss: 1.542135, train acc: 0.920195, train avg acc: 0.878970
Test 88, loss: 1.525850, test acc: 0.906402, test avg acc: 0.883843
Train 89, loss: 1.537874, train acc: 0.923860, train avg acc: 0.883964
Test 89, loss: 1.537091, test acc: 0.899109, test avg acc: 0.861233
Train 90, loss: 1.543953, train acc: 0.922740, train avg acc: 0.883598
Test 90, loss: 1.570930, test acc: 0.888574, test avg acc: 0.872169
Train 91, loss: 1.539768, train acc: 0.919890, train avg acc: 0.878489
Test 91, loss: 1.528079, test acc: 0.912480, test avg acc: 0.885262
Train 92, loss: 1.538802, train acc: 0.923962, train avg acc: 0.885245
Test 92, loss: 1.496343, test acc: 0.917747, test avg acc: 0.879006
Train 93, loss: 1.539213, train acc: 0.919483, train avg acc: 0.876143
Test 93, loss: 1.539702, test acc: 0.907212, test avg acc: 0.876209
Train 94, loss: 1.538488, train acc: 0.922129, train avg acc: 0.886496
Test 94, loss: 1.513509, test acc: 0.904376, test avg acc: 0.866436
Train 95, loss: 1.531611, train acc: 0.926507, train avg acc: 0.886763
Test 95, loss: 1.519725, test acc: 0.897083, test avg acc: 0.874878
Train 96, loss: 1.536578, train acc: 0.921519, train avg acc: 0.884165
Test 96, loss: 1.510137, test acc: 0.910859, test avg acc: 0.881058
Train 97, loss: 1.525668, train acc: 0.929967, train avg acc: 0.893743
Test 97, loss: 1.528675, test acc: 0.910049, test avg acc: 0.868599
Train 98, loss: 1.523124, train acc: 0.929866, train avg acc: 0.896959
Test 98, loss: 1.512969, test acc: 0.920583, test avg acc: 0.882494
Train 99, loss: 1.529103, train acc: 0.926608, train avg acc: 0.888648
Test 99, loss: 1.509031, test acc: 0.910454, test avg acc: 0.873587
Train 100, loss: 1.519499, train acc: 0.932410, train avg acc: 0.896447
Test 100, loss: 1.522360, test acc: 0.904781, test avg acc: 0.878785
Train 101, loss: 1.514547, train acc: 0.933327, train avg acc: 0.898206
Test 101, loss: 1.556099, test acc: 0.886143, test avg acc: 0.858872
Train 102, loss: 1.521598, train acc: 0.929560, train avg acc: 0.892855
