Namespace(ape=False, batch_size=32, dataset='modelnet40', deg=False, delta=True, dimkqv=32, dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='NLA2_S_smooth', k=20, lr=0.001, model='TransformerBaseline', model_path='', momentum=0.9, neighbors=False, no_cuda=False, num_points=1024, rpe=False, scale=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=True, visualize=False)
Using GPU : 0 from 1 devices
Namespace(ape=False, batch_size=32, dataset='modelnet40', deg=False, delta=True, dimkqv=32, dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='NLA2_S_smooth', k=20, lr=0.001, model='TransformerBaseline', model_path='', momentum=0.9, neighbors=False, no_cuda=False, num_points=1024, rpe=False, scale=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=True, visualize=False)
Using GPU : 0 from 1 devices
Test 96, loss: 1.497157, test acc: 0.922204, test avg acc: 0.883041
Train 97, loss: 1.467767, train acc: 0.941565, train avg acc: 0.910578
Test 97, loss: 1.482339, test acc: 0.913695, test avg acc: 0.861837
Train 98, loss: 1.464306, train acc: 0.945630, train avg acc: 0.919029
Test 98, loss: 1.485430, test acc: 0.909238, test avg acc: 0.878297
Train 99, loss: 1.459531, train acc: 0.947154, train avg acc: 0.918455
Test 99, loss: 1.520158, test acc: 0.899109, test avg acc: 0.880465
Train 100, loss: 1.457961, train acc: 0.948882, train avg acc: 0.921001
Test 100, loss: 1.479094, test acc: 0.914911, test avg acc: 0.883366
Train 101, loss: 1.450693, train acc: 0.949593, train avg acc: 0.924290
Test 101, loss: 1.511952, test acc: 0.899109, test avg acc: 0.878116
Train 102, loss: 1.450007, train acc: 0.952033, train avg acc: 0.928278
Test 102, loss: 1.473371, test acc: 0.918152, test avg acc: 0.879826
Train 103, loss: 1.457533, train acc: 0.949187, train avg acc: 0.924267
Test 103, loss: 1.486294, test acc: 0.907618, test avg acc: 0.876907
Train 104, loss: 1.452446, train acc: 0.950407, train avg acc: 0.924437
Test 104, loss: 1.500626, test acc: 0.908833, test avg acc: 0.873971
